iter	RMSE
228	2.229476897
229	2.227930886
230	2.227508322
231	2.22693631
232	2.226775456
233	2.225850751
234	2.224810776
235	2.223431416
236	2.222848608
237	2.222548808
238	2.220979317
239	2.22052636
240	2.220118784
241	2.219814873
242	2.219478613
243	2.217970674
244	2.216620998
245	2.215617504
246	2.214870751
247	2.21448446
248	2.21423002
249	2.212635773
250	2.211990959
251	2.210306743
252	2.208168298
253	2.208154831
254	2.207850404
255	2.207494447
256	2.20721294
257	2.206380664
258	2.20533597
259	2.204646316
260	2.203577741
261	2.203154786
262	2.202737704
263	2.202048265
264	2.201932462
265	2.200731368
266	2.199991246
267	2.198804824
268	2.198099135
269	2.197096055
270	2.196734412
271	2.195604789
272	2.194813864
273	2.193380641
274	2.192306646
275	2.191570595
276	2.190441991
277	2.189730067
278	2.18827186
279	2.187321422
280	2.186830519
281	2.185608776
282	2.18474424
283	2.184107777
284	2.183340311
285	2.183016857
286	2.182077003
287	2.181251156
288	2.179970779
289	2.179536053
290	2.178970852
291	2.178299926
292	2.177276581
293	2.17615805
294	2.175453309
295	2.174676005
296	2.174313774
297	2.174164828
298	2.173884242
299	2.172645996
300	2.17232487
301	2.1719271
302	2.170335386
303	2.170023762
304	2.169981891
305	2.169424971
306	2.168524795
307	2.167778996
308	2.167071438
309	2.166223065
310	2.165472674
311	2.165014111
312	2.164316166
313	2.163984997
314	2.163481548
315	2.163170368
316	2.161551943
317	2.161035544
318	2.160850769
319	2.160468526
320	2.160468448
321	2.160127569
322	2.159547874
323	2.159364083
324	2.157961054
325	2.156485264
326	2.155543009
327	2.15521235
328	2.154747088
329	2.15387454
330	2.153127393
331	2.152611789
332	2.151675694
333	2.151174861
334	2.151011787
335	2.150916189
336	2.149560761
337	2.148814422
338	2.148800123
339	2.147922638
340	2.147678376
341	2.14691619
342	2.146613708
343	2.14632338
344	2.145665584
345	2.145605693
346	2.1448329
347	2.144654748
348	2.144592738
349	2.144236566
350	2.143895516
351	2.143010867
352	2.142551049
353	2.14187906
354	2.141064397
355	2.140908385
356	2.140501718
357	2.13973938
358	2.139306301
359	2.13841909
360	2.137551908
361	2.137120815
362	2.136686658
363	2.135849837
364	2.135402395
365	2.134752226
366	2.134039705
367	2.133304918
368	2.132920906
369	2.132705707
370	2.131992333
371	2.131475227
372	2.130944054
373	2.130087923
374	2.129730031
375	2.129301996
376	2.128681952
377	2.127944129
378	2.127844816
379	2.12703381
380	2.126724049
381	2.126082237
382	2.124851404
383	2.124081944
384	2.123680149
385	2.123353729
386	2.12307878
387	2.1223109
388	2.121686621
389	2.121214112
390	2.121204094
391	2.1204523
392	2.119583115
393	2.118595946
394	2.118127859
395	2.11793089
396	2.11735925
397	2.116774564
398	2.115764423
399	2.115321597
400	2.114600669
401	2.11401478
402	2.113731993
403	2.113185777
404	2.112731952
405	2.111761169
406	2.111241119
407	2.110752871
408	2.110599118
409	2.110402069
410	2.109241739
411	2.108983178
412	2.108247665
413	2.107892671
414	2.107586875
415	2.107271217
416	2.107242115
417	2.106903106
418	2.106713433
419	2.106150758
420	2.105080262
421	2.104468809
422	2.104090762
423	2.103239221
424	2.10259562
425	2.102469455
426	2.10185397
427	2.101411705
428	2.100844909
429	2.099946399
430	2.099184185
431	2.098745978
432	2.098518807
433	2.098147655
434	2.097865419
435	2.09755599
436	2.097125463
437	2.096635898
438	2.09625584
439	2.095800337
440	2.095648484
441	2.095232347
442	2.094228258
443	2.093557064
444	2.093236076
445	2.092153535
446	2.09144837
447	2.090710299
448	2.089413892
449	2.088956232
450	2.088722755
451	2.088321648
452	2.08740005
453	2.086358773
454	2.086275428
455	2.085820057
456	2.085112225
457	2.084600603
458	2.084481741
459	2.083964644
460	2.083675138
461	2.082833766
462	2.082555078
463	2.081929014
464	2.081818286
465	2.081231402
466	2.081016163
467	2.080389234
468	2.079834436
469	2.079292492
470	2.078952376
471	2.078146026
472	2.077836716
473	2.07712289
474	2.076625095
475	2.076478919
476	2.07563132
477	2.074897651
478	2.07443047
479	2.073984464
480	2.073328484
481	2.072750238
482	2.072535714
483	2.071820599
484	2.071566813
485	2.071184441
486	2.07075964
487	2.070001781
488	2.069206723
489	2.068928124
490	2.068595847
491	2.068084457
492	2.067892613
493	2.067308513
494	2.06602449
495	2.065561387
496	2.065215573
497	2.064489114
498	2.063807373
499	2.062913271
500	2.062679765
501	2.062437595
502	2.06163723
503	2.060777874
504	2.059560011
505	2.059111733
506	2.058482446
507	2.057298412
508	2.056443494
509	2.055905931
510	2.055391145
511	2.055383309
512	2.054606019
513	2.05410723
514	2.053446049
515	2.05244146
516	2.052006504
517	2.051435067
518	2.050748434
519	2.050208368
520	2.049549292
521	2.04811901
522	2.04755546
523	2.046675939
524	2.046329144
525	2.045840956
526	2.044749867
527	2.044175485
528	2.043939368
529	2.043046049
530	2.042512723
531	2.041843905
532	2.041037703
533	2.04041783
534	2.038813396
535	2.037867294
536	2.037209934
537	2.03658335
538	2.036222758
539	2.035390818
540	2.034685055
541	2.033514992
542	2.033090879
543	2.031721893
544	2.030778368
545	2.029685915
546	2.028866399
547	2.028093043
548	2.027393367
549	2.026509963
550	2.025934753
551	2.025252567
552	2.024665033
553	2.024056442
554	2.02315303
555	2.022344414
556	2.021673578
557	2.021069257
558	2.020168391
559	2.019509776
560	2.018200012
561	2.017549196
562	2.016982117
563	2.015771398
564	2.015037917
565	2.01378733
566	2.01270101
567	2.011501881
568	2.010361105
569	2.009202333
570	2.008568822
571	2.007662716
572	2.00687814
573	2.00617872
574	2.005398319
575	2.004960333
576	2.004344158
577	2.003772372
578	2.002740058
579	2.001831531
580	2.001171941
581	1.999967622
582	1.998926885
583	1.997888243
584	1.997167938
585	1.996512792
586	1.995829737
587	1.994822047
588	1.994218813
589	1.993390481
590	1.992528572
591	1.991503077
592	1.99062107
593	1.989603609
594	1.988420747
595	1.987661085
596	1.987043171
597	1.986202987
598	1.985263351
599	1.984329468
600	1.983108436
601	1.982180257
602	1.981287667
603	1.980389647
604	1.979536529
605	1.978207857
606	1.977423604
607	1.976304943
608	1.975296287
609	1.974538493
610	1.973988419
611	1.972901687
612	1.972340725
613	1.971463335
614	1.970825674
615	1.970134002
616	1.96954911
617	1.968506823
618	1.967278649
619	1.966327157
620	1.965398033
621	1.964307904
622	1.963358616
623	1.96247481
624	1.96173461
625	1.960774163
626	1.960272408
627	1.95880403
628	1.957764991
629	1.956525313
630	1.955639897
631	1.954897718
632	1.953739692
633	1.953267707
634	1.952348622
635	1.951441786
636	1.95041938
637	1.948939671
638	1.948063759
639	1.947314025
640	1.94690225
641	1.945608304
642	1.94407045
643	1.943081644
644	1.942396481
645	1.941871364
646	1.941079783
647	1.939935621
648	1.938985609
649	1.938509597
650	1.937720131
651	1.936456722
652	1.935795556
653	1.935158464
654	1.933802084
655	1.933003883
656	1.93194207
657	1.930805285
658	1.929661563
659	1.928639941
660	1.927839748
661	1.926838853
662	1.926048327
663	1.924975272
664	1.924049808
665	1.923800587
666	1.923067898
667	1.921882472
668	1.920591718
669	1.919450463
670	1.918772413
671	1.91790568
672	1.916433488
673	1.915767394
674	1.914974918
675	1.913812462
676	1.912475241
677	1.911484161
678	1.910838692
679	1.90972377
680	1.908792936
681	1.907954388
682	1.907288889
683	1.906433875
684	1.905152704
685	1.904355558
686	1.903232325
687	1.902330241
688	1.901064452
689	1.900052462
690	1.898843348
691	1.897682948
692	1.896693004
693	1.895711824
694	1.894659594
695	1.893416867
696	1.892493742
697	1.891643479
698	1.890957522
699	1.89033185
700	1.889383046
701	1.888723283
702	1.887907691
703	1.887087087
704	1.886129499
705	1.885530112
706	1.884825068
707	1.883678206
708	1.883294659
709	1.882470207
710	1.881534037
711	1.880592625
712	1.879549265
713	1.879098519
714	1.878184637
715	1.877113229
716	1.876796206
717	1.875975089
718	1.87483086
719	1.873989517
720	1.873238152
721	1.872752806
722	1.872412425
723	1.871761942
724	1.870923619
725	1.869817415
726	1.868776951
727	1.867909504
728	1.867146036
729	1.86592286
730	1.864719542
